Area Name,Rural/Urban,Total Population,Good Households,Livable Households,Dilapidated Households,Tapwater from treated source,Tapwater from un-treated source,Covered well,Un-covered well,Handpump,Tubewell/Borehole,drinking water from Spring,Drinking water form River/Canal,Drinking water form Tank/Pond/Lake,Sources of Lighting -Electricity,Sources of Lighting - Kerosene,Sources of Lighting -Solar energy,No lighting,Number of households having latrine facility within the premises,Piped sewer system,Septic tank,Other system,With slab/ventilated improved pit,Without slab/  open pit,Number of households not having latrine facility within the premises,Public latrine,Bathroom,Enclosure without roof,Waste Water Closed drainage,Waste Water Open drainage,Good Fuels,Bad Fuels,Total number of households availing banking services,Radio/Transistor,Television,Computer/Laptop With Internet,Computer/Laptop Without Internet,Landline only,Mobile only,Both Mobile and Landline,Bicycle,Scooter/ Motorcycle/Moped,Car/ Jeep/Van,"Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",Types of Structure of houses-Permanent,Types of Structure of houses-Semi-Permanent,Types of Structure of houses-Total Temporary,Types of Structure of houses-Serviceable,Types of Structure of houses Non-Serviceable,Types of Structure of houses Unclassifiable
Dhanana (52),Rural,11766,30.8,60.9,8.3,16.7,7.8,4.2,5.7,60.9,0.7,0,0,0,84.9,12,0.1,0.8,57.5,1.3,19.3,7.7,28.8,0.4,42.5,1.1,57.8,14.6,4.1,78.7,21.9,0,63,22.7,51.4,0.7,11.3,2.9,68.4,1.4,22.3,14.5,7.1,2.6,47.6,49,3.1,2.2,0.9,0.3
Badesra (53),Rural,7241,41.3,49.9,8.8,8.9,10.7,0.9,1.7,67.3,5,0,0,0.1,73.7,25.3,0.3,0.1,49.3,2.1,29.9,1.7,15.3,0.1,50.7,0.8,58.6,10.1,4.6,80.8,16.4,0.2,55.1,17.8,49.5,1.8,3.4,4.7,58.8,2.5,24.4,15.1,2.5,1,38.3,60.2,1.5,1.4,0.1,0
Chang (5),Rural,12979,38.7,56.5,4.9,24.3,6.1,0.2,0.4,67.2,1.8,0,0.1,0,84.1,14.9,0.1,0.6,58.4,2.5,32.8,2.3,20.5,0.1,41.6,1.8,60.9,12.8,1.2,90,25.3,0.7,50.2,12.1,51.2,1.3,3.1,1.4,62.8,2.7,35.9,16.2,2.9,1.5,43.4,54.2,2.2,1.8,0.5,0.2
Sai (1),Rural,6080,35.3,62.4,2.3,52,1.2,0.1,3.7,40,2.9,0,0,0.1,89.9,9.9,0,0.3,53.8,0.3,22.9,0.2,30.4,0,46.2,0,64.8,13.9,0.8,85.3,28.1,0,53.1,13.8,54.8,0,1.8,0.9,81.7,0.7,37.1,17.5,2,0,67.5,31.8,0.6,0.3,0.3,0.1
Kelanga (130),Rural,13910,45.5,47.6,7,4.7,5.9,2.2,2.7,80.9,3.4,0,0,0.2,87.6,11.6,0,0.1,63.9,0.4,37.4,9.6,16.3,0.2,36.1,1.5,58.4,16.9,1,94.7,19.8,0,52.5,14,53.2,0.4,4.1,1.1,69.3,0.9,35.9,13,2.5,0.7,65.4,32,2.4,2.2,0.2,0.2
Kharak Khurd (132),Rural,5113,41,48.2,10.8,16.4,1,0.7,16,63.9,0.2,0,0,0,75.5,22.3,1,0.3,50.8,0.1,7.2,5.9,35.4,2,49.2,0.5,58,6.6,0.4,89,19.9,0.5,60.3,12.4,62.4,0.8,2.1,1.3,71.7,1.6,56.5,16.4,3.8,1.7,61.8,34.4,2.5,1.9,0.6,1.3
Kharak Kalan (131),Rural,12605,35.4,55.8,8.8,6.3,0.4,2.7,60.6,19.9,0.2,0,0,9.8,83.6,13.3,0.3,2.4,57.4,2.9,37.5,0.1,16.6,0.3,42.6,0.9,58.1,11.6,5.8,76.6,18.4,0,53.7,13.8,54.6,0.6,3.3,3.4,59.8,0.9,46,13.5,2.6,0.7,61.6,30.7,7.6,6.4,1.2,0.1
Sarsa (2),Rural,2884,22.7,65.7,11.7,0,0,0,100,0,0,0,0,0,84.4,14.9,0,0,64.8,0.9,63.7,0,0.2,0,35.2,0,54.4,22.5,1.7,95.9,4.1,0,72.8,17.7,58.5,0.2,3.9,0.9,78.4,0.9,52.9,19,1.3,1.9,79.5,19.2,1.1,1.1,0,0.2
Phulpura (3),Rural,1759,71.8,27.9,0.3,51.5,3,7.6,33.3,2.4,1.8,0.3,0,0,84.8,15.2,0,0,40.9,2.4,38.5,0,0,0,59.1,0,62.4,19.4,1.5,96.7,20,0,70.3,16.7,52.7,0,6.4,3,74.5,3,28.5,17,3.9,0,87.3,12.4,0,0,0,0.3
Bamla (15),Rural,10859,34.7,59.1,6.2,18.8,1.1,2.2,61,16.4,0.1,0,0,0.1,88.1,11.1,0.2,0.2,58.6,6,25.7,0.4,25.9,0,41.4,0,64.1,12.7,2.1,90.4,13.6,0.1,79.2,20.7,65.7,0.6,3.4,7.9,71,1.3,38.5,26.7,7.2,1.3,53.5,43.9,2.5,2.3,0.2,0.1
Riwari (4),Rural,4924,63.3,34.6,2.2,66.7,2.4,0,3.5,25.1,1.8,0.1,0,0,84.1,13.9,0,0,49.1,0.7,26.9,0.1,21.2,0.1,50.9,0,60.1,21.8,1.8,89.4,14.6,0.1,59.7,11.3,55.5,0.5,4.2,1.1,76.4,1.1,44.7,22.8,2,1.3,68.1,26.9,4.9,0.1,4.8,0.1
Mitathal (6),Rural,7434,52.2,42.5,5.3,60.9,10.9,0.4,0.8,24.6,0.8,0,0,0,75.3,24.4,0.1,0,52,0.4,29.4,0.1,21.9,0,48,0,65.9,13.6,0.8,90,19.2,0,66.6,19.7,46.3,0.4,3.7,2.7,68.6,6.1,35.5,21.6,3,1.5,53.1,43,3.8,3.6,0.3,0.1
Ghuskani (7),Rural,3070,34.7,50.7,14.6,37.5,9,5.6,46.8,0.9,0,0,0,0,84.9,15,0.2,0,51.8,0,23.6,24.1,3.9,0,48.2,0.4,51.2,27.6,2.1,85.2,10.1,0,63.7,18.7,54.2,0.5,13,1.1,68,1.9,17.3,15.7,2.8,1.2,53.9,40.5,1.1,1.1,0,4.6
Tigri (8),Rural,653,72.1,18.9,9,41,2.5,0,3.3,53.3,0,0,0,0,72.1,27.9,0,0,60.7,0,23.8,0,36.9,0,39.3,14.8,65.6,10.7,0,86.1,24.6,0,70.5,12.3,70.5,0.8,1.6,1.6,67.2,6.6,32.8,31.1,4.9,1.6,82,14.8,3.3,3.3,0,0
Prem Nagar (9),Rural,3495,32.8,65.6,1.6,15.4,1.2,3.6,48.2,31.3,0,0,0.1,0,83,15.5,0.4,0,38.9,0.4,14.1,1.6,22.2,0,61.1,0,61.8,20.2,1.5,93.5,11.5,0,67.9,18.6,61.4,1,3.9,7.4,72.7,4.6,27.3,23.7,4.4,1.3,59.9,39,0.7,0.7,0,0.3
Rajpura Kharkari (23),Rural,1124,69.3,29.4,1.3,98.7,0,0,0,0,0,0,0,1.3,94.5,4.2,0,0.4,54.2,0,21.4,0.4,32.4,0,45.8,0.4,68.1,4.2,0,81.5,43.7,0.4,58.4,8.8,70.2,1.3,1.3,0.4,58,0,55,28.6,4.6,1.3,81.5,18.5,0,0,0,0
Tigrana (10),Rural,10712,36.1,56.2,7.7,23.9,3.6,0.7,17.5,49.4,4.8,0,0,0,80.5,18.2,0.2,0.4,64.7,0.5,25.1,10.9,27,0.7,35.3,0.4,65.6,14.6,1.8,88.7,26.7,0.5,60.7,19.4,62.9,0.5,3.9,2.6,66.4,3.1,40.3,21,3.7,1.5,49.1,48,2.5,2.3,0.2,0.4
Gujrani (11),Rural,4883,52.8,44.7,2.4,40.2,3.9,0.2,12.1,43.5,0,0,0,0,81.9,18.1,0,0,26.2,2,17.3,0,6.2,0.1,73.8,0,43.5,32.9,0.2,80.1,22.6,0,44.7,13.7,63.7,0.5,2.4,2.6,62.1,1.7,51.9,14.3,2.2,1.2,53.9,45,1.2,1.2,0,0
Kaluwas (13),Rural,2259,52,27.9,20.2,24.1,1.1,0.2,73.2,0.2,0,0,0,0,78.5,18,0,3.5,41.2,0.4,40.8,0,0,0,58.8,0,46.5,13.8,11.6,76.1,23.2,0,62.5,18.2,57.2,0.2,16,9,69.1,2.2,48.5,20.2,2.6,5.5,51.1,42.5,6.4,5.7,0.7,0
